# date	 open	 high	 low	 close	 adjClose	 volume	 5-day moving average close	 20-day moving average close
2020-11-26     9.760     9.830     9.570     9.750     9.551 1832100     9.632     8.683 
2020-11-27     9.730     9.910     9.470     9.640     9.443 2027600     9.694     8.774 
2020-11-30     9.600     9.630     9.350     9.560     9.365 2170800     9.742     8.861 
2020-12-01     9.690     9.990     9.470     9.900     9.698 2893500     9.746     8.983 
2020-12-02     9.970    10.200     9.920    10.090     9.884 2762200     9.788     9.117 
2020-12-03    10.070    10.260     9.960     9.960     9.757 2892000     9.830     9.224 
2020-12-04    10.040    10.120     9.750     9.850     9.649 1786300     9.872     9.314 
2020-12-07     9.860    10.060     9.700     9.900     9.698 1981900     9.940     9.390 
2020-12-08     9.900    10.220     9.770    10.040     9.835 2058500     9.968     9.467 
2020-12-09    10.110    10.230     9.910    10.020     9.816 1696600     9.954     9.548 
2020-12-10    10.020    10.150     9.760    10.110     9.904 1717800     9.984     9.625 
2020-12-11     9.980    10.140     9.940    10.000     9.796 1363400    10.014     9.693 
2020-12-14    10.060    10.160     9.850     9.950     9.747 1625100    10.024     9.747 
2020-12-15     9.950    10.380     9.950    10.120     9.914 2816300    10.040     9.793 
2020-12-16    10.140    10.180     9.810    10.070     9.865 2095500    10.050     9.834 
2020-12-17    10.100    10.250     9.960    10.010     9.806 1353400    10.030     9.869 
2020-12-18    10.100    10.180     9.890     9.950     9.747 1887900    10.020     9.900 
2020-12-21     9.750    10.110     9.360     9.930     9.727 1823100    10.016     9.931 
2020-12-22     9.980    10.210     9.930    10.010     9.806 1755800     9.994     9.937 
2020-12-23     9.920    10.090     9.810     9.960     9.960 1668600     9.972     9.941 
2020-12-28     9.960    10.350     9.950    10.100    10.100 1808400     9.990     9.959 
2020-12-29    10.140    10.150     9.900     9.940     9.940 1463100     9.988     9.974 
2020-12-30     9.960    10.040     9.530     9.530     9.530 5043500     9.908     9.972 
2021-01-04     9.670     9.740     9.360     9.360     9.360 3090600     9.778     9.945 
2021-01-05     9.370     9.500     9.140     9.320     9.320 2002200     9.650     9.907 
